Quem vê, Senhora, claro e manifesto;0W1W010W1 0_0W101xW
O lindo ser de vossos olhos belos,;0W10W1W0W1 0W10W1xW
Se não perder a vista só em vê-los,;0W1W01W0W1 0W1W0W1xW
Já não paga o que deve a vosso gesto.;0W1W10_0W1W1 0_0W10W1xW
;
Este me parecia preço honesto;10W0W101W 10W01xW
Mas eu, por de vantagem merecê-los,;1W1W0W1W010W101x
Dei mais a vida e alma por querê-los,;0W1W0W10_W1 0W1W01X
Donde já não me fica mais de resto.;10W1W0W0W1 0W1W0W1XW
;
Assim que a vida e alma e esperança,;01W0_0W10_0W1 0_0W101xW
E tudo quanto tenho, tudo é vosso,;0W10W10W1 0W10_0W1xW
E o proveito disso eu só o levo.;0W1W010W1 0W1W0_0W1xW
;
Porque é tamanha bem-aventurança;00_1W010W1 0101xW
O dar-vos quanto tenho e quanto posso,;0W10W10W1 0_0W10W1xW
Que, quanto mais vos pago, mais vos devo.;0W10W1W0W1 0W1W0W1xW
;
;
;
;
;
Amor é fogo que arde sem se ver;01W0W10W0_1 0W1W0W1W
É ferida que dói, e não se sente;1W010W0W1W 0W1W0W1xW
É um contentamento descontente;1W0W0101 0W101x
É dor que desatina sem doer.;0W1W0W101 0W1W01W
;
É um não querer mais que bem querer;1W0W1W01W1W 0W1W01W
É um andar solitário entre a gente;1W0W01W 0010_10_0W1xW
É nunca contentar-se de contente;0W10W101 0W1W01xW
É um cuidar que se ganha em se perder.;1_0W01W0W0W1 0_0W1W01W
;
É querer estar preso por vontade;1W01W01W1 0W1W01xW
É servir a quem vence, o vencedor;1W01W0W1W1 0_0W101W
É ter com quem nos mata, lealdade.;1W0W1W0W0W1 0W101xW
;
Mas como causar pode seu favor;0W10W01W1 0W1W01W
Nos corações humanos amizade,;0W101W01 0W101xW
Se tão contrário a si é o mesmo Amor?;0W1W010_0W0_1W 0W10_01W
