Entre pajas se enciende la divina;00W10W0_010W0W01xW
Luz de Amor, cuyo rayo al Cielo alcanza,;1W01W00W10_0W10_01xW
paja conserva el fruto mi esperanza,;10W010_0W10W0_001xW
en paja el trigo su alto peso inclina.;0W10_0W10W0_10W10_01xW
   Propiamente en su forma se examina,;1010_0W0W10W0_001xW
la empresa a que Amor Niño se abalanza,;0_0100_0W0_1W10W0_001xW
que una sobre otra es Cruz, la larga es Lanza;0_10W00_10_1W1W0W10_1_0W1xW
la corta, Clavo la más corta, Espina.;0W10W10W0W1W10_01xw
   Pero la paja es leve, ¿y la acomodo;00W0W10_1W10W0W0_01xW
a grave leño, a lanza, que infiel raja,;0W10W10_0W10W0_01W1xW
a espina, y clavo de tirano modo?;0_010_0W10W0W010W1xW
   Mas ¡ay! que así se ajusta, el que así baja,;0W1W0_01W0_010_0W0_01W1xW
que hierro, acero, Espinas, Cruz y todo,;0W10_010_010W1W0W1xW
en quien muere de amor, monta una paja.;0W0W10W0_01W10_10W1xW
;
Esta es, Tirsis, la fuente do solía;10_1W10W0W10W1W01XW
contemplar tu beldad mi Filis bella;001W0W01W0W10W1xW
éste el prado gentil, Tirsis, donde ella;10_0W10W01W10W00_1xW
su hermosa frente de su flor ceñía.;0_010W10W0W0W1W01xW
   Aquí, Tirsis, la vi cuando salía;01W10W0W1W00W01xW
dando la luz de una y otra estrella;10W0W1W0W10_0_10_01xW
allí, Tirsis, me vido y tras aquella;01W10W0W10_0W0W01xW
halla se me escondió y ansí la vía.;10W0W0_001W0_01W0W1xW
   En esta cueva desde monte amado;0W10W10W00W10_01xW
me dio la mano y me ciñó la frente;0W1W0W10_0W0W01W0W1xW
de verde hiedra y de violetas tiernas.;0W10W10_0W0W010W1xW
   Al prado y haya y cueva y monte y fuente;0W10_0W10_0W10_0W10_0W1xW
y al cielo desparciendo olor sagrado,;0_0W10W0010_01W01xW
rindo de tanto bien gracias eternas.;10W0W10W1W10W01xW
;
Noche, que en tu amoroso y dulce olvido;10W0_0W0_0010_0W10_01xW
escondes y entretienes los cuidados;010W0_0010W0W01xW
del enemigo día y los pasados;0W0010W1W0W0W01xW
trabajos recompensas al sentido.;010W0010W0W01xW
   Tú, que de mi dolor me ha conducido;1W0W0W0W01W0_1W001xW
a contemplarte, y contemplar mis hados,;0W0010_0W001W0W1xW
enemigos ahora conjurados;0010W010W001xW
contra un hombre del cielo perseguido:;01_0W10W0W10W001xW
   así las claras lámparas del cielo;01W0W10W100W0W1xW
siempre te alumbren, y tu amiga frente;10W0_010W0W0_010W1xW
de beleño y ciprés tengas ceñida.;0W010_0W01W10W01xW
   Que no advierta su luz en este suelo;0W1_010W0W1W0W10W1xW
el claro Sol mientras me quejo, ausente,;0W10W1W00W0W10_01xW
de mi pasión. Bien sabes tú mi vida.;0W0W01W1W10W1W0W1xW
;
Cuantas estrellas tiene el firmamento,;10W010W10_0W001xW
la selva flores, y el Euxino arenas,;0W10W10W0_0W010_01xW
tantas y más son, Títiro, mis penas;10W0W1W1W100W0W1xW
si yo me entiendo con el mal que siento.;0W1W0_010W0W0W1W0W1xW
   Bien es que la ocasión de mi tormento;1W1W0W0_001W0W0W01xW
tiene principio de las más serenas;10W010W0W0W1W01xW
lumbres del cielo mas de dos ajenas;10W0W10W0W0W1W01xW
voluntades jamás viene contento.;0010W01W10W01xW
   Vos, que miráis del puerto la tormenta,;1W0W01W0W10W0W01xW
y descubrís en su rigor el claro;0W001W0W0W01W0W1xW
norte que os hizo descubrir la tierra:;10W0_0W10W001W0W1xW
   mirad mi luz, a quien el cielo avaro;01W0W1W0W0W0W10_01xW
con turbias nubes cubre porque sienta;0W10W10W10W00W1xW
cuanto mal hace si una vez se cierra.;10W1W10W0_10W1W0W1xW
;
Cuántas veces te me has engalanado,;10W10W0W1W0W001xW
clara y amiga Noche! ¡Cuántas llena;10_0W010W10W10W1xW
de oscuridad y espanto la serena;0_0001W0_010W0W01xW
mansedumbre del cielo me has turbado!;0010W0W10W0_1W01xW
   Estrellas hay que saben mi cuidado,;010W1W0W10W0W01xW
y que se han regalado con mi pena;0W0W0_1W0010W0W0W1xW
que entre tanta beldad, la más ajena;0_00W10W01W0W1W01xW
de amor, tiene su pecho enamorado.;0_01W10W0W10_0001xW
   Ellas saben amar, y saben ellas;10W10W01W0W10W1xW
que he contado su mal llorando el mío,;0_1W010W0W1W010_0W1xW
envuelto en los dobleces de tu manto.;010_0W0W010W0W0W1xW
   Tú, con mil ojos, Noche, mis querellas;1W0W1W10W10W0W01xW
oye, y esconde pues mi amargo llanto;10_0W010W0W0_010W1xW
es fruto inútil que al amor envío.;1W10_010W0_0W01W01xW
;
Sigo, silencio, tu estrellado manto,;10W010W0_0010W1xW
de transparentes lumbres guarnecido,;0W0010W10W001xW
enemiga del sol esclarecido,;0010W0W1W0001xW
ave nocturna de agorero canto.;10W010W0_0010W1xW
   El falso mago Amor, con el encanto;0W10W10_01W0W0W01xW
de palabras quebradas por olvido,;0W010W010W0W01xW
convirtió mi razón y mi sentido,;001W0W01W0W0W01xW
mi cuerpo no, por deshacerle en llanto.;0W10W1W0W0010_0W1xW
   Tú, que sabes mi mal, y tú que fuiste;1W0W10W0W1W0W1W0W1xW
la ocasión principal de mi tormento,;0_001W001W0W0W01xW
por quien fui venturoso y desdichado,;0W0W1W0010_0W001xW
   oye tú solo mi dolor, que al triste;10W1W10W0W01W0_0W1xW
a quien persigue cielo violento;0W0W010W10W001xW
no le está bien que sepa su cuidado.;1W0_01W1W0W10W0W01xW
;
Claro y sagrado río, y tu ribera;10_0W010W1W0W0W01xW
de esmeraldas y pórfidos vestida;0_0010W0W100W01xW
corto descaso de una amarga vida,;10W010W0_10_010W1xW
que entre amor y esperanza desespera.;0_00_01W0_0010W001xW
   Cierto mal, bien incierto, ausencia fiera,;10W1W1W010_010W1xW
gloria pasada y gloria arrepentida,;10W010_0W10_0001xW
tienen tan acabada y combatida;10W0W0010_0W001xW
la triste vida, que la muerte espera.;0W10W10W0W0W10_01xW
   Tú, que lavas el monte y las arenas;1W0W10W0W10_0W0W01xW
rojas de mi Cyterón soberano,;10W0W0W001W001xW
lleva mi voz y lástimas contigo.;10W0W1W0W100W01xW
   Alivia tú, llevándolas, mis penas;010W1W0101W0W1xW
así veas su rostro tan humano;01W10W0W10W0W01xW
cuando yo despiadado y enemigo.;00W1W0010_0_001xW
;
Bella es mi ninfa, si los lazos de oro;11W0W10W0W0W10W0_1xW
al apacible viento desordena;0W0010W10W001xW
bella, si de sus ojos enajena;10W0W0W0W10W001xW
el altivo desdén que siempre lloro.;0W010W01W0W10W1xW
   Bella, si con la luz que sólo adoro;10W0W0W0W1W0W10_01xW
la tempestad del viento y mar serena;0W001W0W10_0W1W01xW
bella, si a la dureza de mi pena;10W0_0W0W010W0W0W1xW
vuelve las gracias del celeste coro.;10W0W10W0W010W1xW
   Bella, si mansa bella, si terrible;10W0W10W10W0W01xW
bella, si cruda bella, esquiva y bella;10W0W10W10_010_0W1xW
si vuelve grave aquella luz del cielo;0W10W10_010W1W0W1xW
   cuya beldad humana y apacible;00W01W010_0W001xW
ni se puede saber lo que es sin vella,;0W0W10W0W1W0W1W0W1xW
ni, vista, entenderá lo que es el suelo.;0W10_0001W0W0_1W0W1xW
;
 Línea del punto que al valor provoca;10W0W10W0_0W01W01xW
hilo a la vida en defensor valiente,;10_0W0W10_0W001W01xW
a complexiones hecha de la gente,;0W0010W10W0W0W1xW
templada, cuerda y destemplada loca.;010W10_0W0010W1xW
   Hebra que coses la insolente boca;10W0W10W0W0_010W1xW
del duelo y la defensa estrecha puente;0W10_0W0W010_010W1xW
pirámide de luz resplandeciente;0100W0W1W0001xW
que al cielo del honor tu punta toca.;0_0W10W0W01W0W10W1xW
   Sangrienta insignia el pecho te procura,;010_010_0W10W0W01xW
luciente hoja te codicia el mayo,;010W10W0W010_0W1xW
lengua sin voz te rige la cordura;10W0W1W0W10W0W01xW
   Sea, si importa, tempestad tu ensayo,;10W0_010W001W0_01xW
rompe la nube de tu vaina oscura,;10W0W10W0W0W10_01xW
y sin trueno de voces, hiere rayo.;0W0W10W0W10W10W1xW
;
El español, que halló la nueva tierra;0W001W0_01W0W10W1xW
tras larga mar, tras larga desventura,;0W10W1W0W10W001xW
gozó del oro que la tierra dura;01W0W10W0W0W10W1xW
en sus entrañas escondido encierra.;0W0W010W0010_01xW
   Y si del vulgo la opinión no yerra,;0W0W01W0W001W0W1xW
ensalzando de Cristo la fe pura;0010W0W10W0W1W1xW
venció tras el despojo que asegura;01W0W0W010W0W01xW
la más dudosa y más difícil guerra.;0W1W010_0W1W010W1xW
   Vos solo, a quien tocó la mejor parte;1W10_0W0W01W0W01W1xW
de este triunfo inmortal, vuestra habéis hecho;0_10W10_001W00_01W1xW
que fue vuestro despojo este tesoro.;0W1W00W010_10W01xW
   Aquí no dais de conquistar el arte,;01W0W1W0W001W0W1xW
virtud que en un hidalgo, honrado pecho,;01W0_0W1W010_010W1xW
se estima en mucho más que plata y oro.;0_010_0W10W1W0W10_0W1xW
